EMP ID,NAME,DEPARTMENT,MONTH,ATTENDANCE,STATUS,LEAVE TYPE,KPI SCORE,SATISFACTION
EMP-1146,Employee 146,Administration,December,71%,On Leave,Sick Leave,75 / 100,3 ★
EMP-1147,Employee 147,Finance,November,76%,Reserved,Vacation,63 / 100,3 ★
EMP-1148,Employee 148,Sales,January,85%,Reserved,Casual Leave,72 / 100,3 ★
EMP-1149,Employee 149,IT,January,90%,Reserved,None,92 / 100,5 ★
EMP-1150,Employee 150,Administration,December,92%,Reserved,Casual Leave,83 / 100,5 ★
EMP-1151,Employee 151,Customer Support,July,82%,Reserved,Casual Leave,90 / 100,5 ★
EMP-1152,Employee 152,Legal,September,70%,Reserved,Special Leave,68 / 100,3 ★
EMP-1153,Employee 153,R&D,March,91%,In Stock,None,86 / 100,5 ★
EMP-1154,Employee 154,Administration,March,81%,In Stock,Sick Leave,77 / 100,5 ★
EMP-1155,Employee 155,Sales,December,75%,On Leave,Sick Leave,77 / 100,4 ★
EMP-1156,Employee 156,Procurement,April,98%,In Stock,None,93 / 100,5 ★
EMP-1157,Employee 157,Marketing,January,78%,On Leave,Special Leave,63 / 100,4 ★
EMP-1158,Employee 158,Customer Support,December,82%,In Stock,None,73 / 100,5 ★
EMP-1159,Employee 159,Engineering,October,99%,In Stock,None,96 / 100,5 ★
EMP-1160,Employee 160,Marketing,August,82%,Reserved,None,81 / 100,5 ★
EMP-1161,Employee 161,Finance,September,96%,In Stock,None,97 / 100,5 ★
EMP-1162,Employee 162,Legal,June,73%,On Leave,Sick Leave,69 / 100,3 ★
EMP-1163,Employee 163,Engineering,November,93%,Reserved,None,90 / 100,5 ★
EMP-1164,Employee 164,Engineering,April,94%,In Stock,None,90 / 100,4 ★
EMP-1165,Employee 165,R&D,March,84%,Reserved,Casual Leave,77 / 100,5 ★
EMP-1166,Employee 166,Finance,April,88%,Reserved,None,82 / 100,3 ★
EMP-1167,Employee 167,HR,October,87%,In Stock,None,80 / 100,3 ★
EMP-1168,Employee 168,Operations,October,76%,On Leave,Special Leave,65 / 100,4 ★
EMP-1169,Employee 169,Sales,September,85%,In Stock,None,74 / 100,5 ★
EMP-1170,Employee 170,Sales,March,86%,In Stock,Casual Leave,84 / 100,5 ★
EMP-1171,Employee 171,Sales,April,75%,On Leave,Vacation,74 / 100,2 ★
EMP-1172,Employee 172,Procurement,May,77%,Reserved,Sick Leave,60 / 100,3 ★
EMP-1173,Employee 173,R&D,December,79%,Reserved,Sick Leave,78 / 100,2 ★
EMP-1174,Employee 174,IT,May,90%,In Stock,None,83 / 100,5 ★
EMP-1175,Employee 175,Sales,October,78%,On Leave,Special Leave,80 / 100,2 ★
EMP-1176,Employee 176,Customer Support,August,83%,In Stock,Casual Leave,74 / 100,3 ★
EMP-1177,Employee 177,Sales,October,75%,On Leave,Sick Leave,65 / 100,4 ★
EMP-1178,Employee 178,IT,January,87%,In Stock,None,77 / 100,4 ★
EMP-1179,Employee 179,Operations,December,96%,In Stock,None,94 / 100,5 ★
EMP-1180,Employee 180,Procurement,January,79%,On Leave,Vacation,64 / 100,2 ★
EMP-1181,Employee 181,Legal,May,72%,Reserved,Sick Leave,67 / 100,3 ★
EMP-1182,Employee 182,Finance,April,81%,In Stock,None,88 / 100,4 ★
EMP-1183,Employee 183,Finance,March,74%,On Leave,Special Leave,68 / 100,4 ★
EMP-1184,Employee 184,Procurement,January,71%,Reserved,Vacation,78 / 100,2 ★
EMP-1185,Employee 185,R&D,December,77%,Reserved,Vacation,74 / 100,3 ★
EMP-1186,Employee 186,Procurement,December,92%,In Stock,Casual Leave,94 / 100,5 ★
EMP-1187,Employee 187,Finance,July,100%,In Stock,None,90 / 100,5 ★
EMP-1188,Employee 188,Engineering,January,72%,Reserved,Sick Leave,79 / 100,4 ★
EMP-1189,Employee 189,Legal,May,79%,On Leave,Sick Leave,60 / 100,2 ★
EMP-1190,Employee 190,Finance,September,94%,In Stock,None,95 / 100,5 ★
EMP-1191,Employee 191,Procurement,March,93%,In Stock,Casual Leave,88 / 100,4 ★
EMP-1192,Employee 192,Engineering,April,72%,On Leave,Vacation,73 / 100,4 ★
EMP-1193,Employee 193,Sales,January,100%,In Stock,None,93 / 100,5 ★
EMP-1194,Employee 194,Procurement,July,74%,Reserved,Sick Leave,79 / 100,3 ★
EMP-1195,Employee 195,R&D,June,91%,In Stock,None,93 / 100,5 ★
EMP-1196,Employee 196,Customer Support,August,79%,Reserved,Vacation,71 / 100,3 ★
EMP-1197,Employee 197,R&D,October,93%,In Stock,Casual Leave,86 / 100,5 ★
EMP-1198,Employee 198,Sales,May,90%,In Stock,Casual Leave,86 / 100,4 ★
EMP-1199,Employee 199,Operations,December,78%,On Leave,Special Leave,66 / 100,3 ★
EMP-1200,Employee 200,Administration,April,70%,Reserved,Special Leave,64 / 100,2 ★
EMP-1201,Employee 201,Marketing,February,81%,In Stock,None,87 / 100,3 ★
EMP-1202,Employee 202,R&D,October,84%,Reserved,Casual Leave,74 / 100,5 ★
EMP-1203,Employee 203,Sales,May,91%,In Stock,Casual Leave,95 / 100,5 ★
EMP-1204,Employee 204,Customer Support,April,74%,On Leave,Vacation,71 / 100,4 ★
EMP-1205,Employee 205,Customer Support,December,86%,In Stock,Casual Leave,84 / 100,4 ★
EMP-1206,Employee 206,Finance,November,73%,On Leave,Vacation,67 / 100,4 ★
EMP-1207,Employee 207,HR,February,83%,In Stock,Casual Leave,89 / 100,5 ★
EMP-1208,Employee 208,Customer Support,May,80%,Reserved,None,79 / 100,4 ★
EMP-1209,Employee 209,Procurement,August,72%,Reserved,Sick Leave,63 / 100,3 ★
EMP-1210,Employee 210,Procurement,July,91%,Reserved,Casual Leave,89 / 100,5 ★
EMP-1211,Employee 211,R&D,April,98%,In Stock,None,90 / 100,5 ★
EMP-1212,Employee 212,IT,March,82%,In Stock,Sick Leave,87 / 100,4 ★
EMP-1213,Employee 213,R&D,September,96%,In Stock,None,99 / 100,5 ★
EMP-1214,Employee 214,Customer Support,November,86%,Reserved,None,78 / 100,5 ★
EMP-1215,Employee 215,Operations,March,79%,On Leave,Special Leave,62 / 100,2 ★
EMP-1216,Employee 216,Finance,November,91%,Reserved,Casual Leave,90 / 100,4 ★
EMP-1217,Employee 217,Marketing,April,93%,In Stock,None,84 / 100,4 ★
EMP-1218,Employee 218,Sales,January,85%,In Stock,Casual Leave,90 / 100,4 ★
EMP-1219,Employee 219,Sales,April,72%,On Leave,Sick Leave,71 / 100,2 ★
EMP-1220,Employee 220,Operations,March,99%,In Stock,None,99 / 100,5 ★
EMP-1221,Employee 221,IT,August,100%,In Stock,None,92 / 100,5 ★
EMP-1222,Employee 222,Procurement,October,74%,Reserved,Special Leave,65 / 100,3 ★
EMP-1223,Employee 223,R&D,December,77%,On Leave,Sick Leave,67 / 100,4 ★
EMP-1224,Employee 224,Customer Support,August,99%,In Stock,None,100 / 100,5 ★
EMP-1225,Employee 225,Legal,January,70%,Reserved,Special Leave,60 / 100,2 ★
EMP-1226,Employee 226,Procurement,May,80%,Reserved,Sick Leave,82 / 100,3 ★
EMP-1227,Employee 227,Engineering,July,76%,On Leave,Special Leave,67 / 100,4 ★
EMP-1228,Employee 228,Sales,January,96%,In Stock,None,91 / 100,5 ★
EMP-1229,Employee 229,Sales,April,89%,In Stock,None,80 / 100,5 ★
EMP-1230,Employee 230,Sales,September,73%,On Leave,Sick Leave,63 / 100,3 ★
EMP-1231,Employee 231,R&D,May,73%,On Leave,Vacation,79 / 100,2 ★
EMP-1232,Employee 232,Operations,February,75%,Reserved,Vacation,67 / 100,3 ★
EMP-1233,Employee 233,HR,November,89%,Reserved,Casual Leave,89 / 100,4 ★
EMP-1234,Employee 234,IT,January,80%,In Stock,Sick Leave,84 / 100,3 ★
EMP-1235,Employee 235,HR,December,86%,In Stock,Sick Leave,80 / 100,5 ★
EMP-1236,Employee 236,R&D,December,74%,On Leave,Sick Leave,61 / 100,4 ★
EMP-1237,Employee 237,Engineering,October,74%,Reserved,Vacation,72 / 100,2 ★
EMP-1238,Employee 238,R&D,November,98%,In Stock,None,91 / 100,5 ★
EMP-1239,Employee 239,Marketing,October,85%,In Stock,None,76 / 100,3 ★
EMP-1240,Employee 240,Customer Support,December,71%,Reserved,Special Leave,63 / 100,3 ★
EMP-1241,Employee 241,Finance,December,73%,Reserved,Sick Leave,80 / 100,4 ★
EMP-1242,Employee 242,Sales,June,82%,In Stock,None,71 / 100,5 ★
EMP-1243,Employee 243,Engineering,January,80%,In Stock,Casual Leave,86 / 100,4 ★
EMP-1244,Employee 244,Finance,July,95%,In Stock,None,84 / 100,4 ★
EMP-1245,Employee 245,Engineering,September,94%,In Stock,None,87 / 100,5 ★
EMP-1246,Employee 246,Legal,February,92%,In Stock,None,89 / 100,5 ★
EMP-1247,Employee 247,IT,April,81%,In Stock,Sick Leave,80 / 100,4 ★
EMP-1248,Employee 248,IT,May,100%,In Stock,None,98 / 100,5 ★
EMP-1249,Employee 249,Sales,November,76%,Reserved,Vacation,77 / 100,2 ★
EMP-1250,Employee 250,Administration,February,77%,Reserved,Sick Leave,73 / 100,3 ★
EMP-1251,Employee 251,Finance,October,94%,In Stock,None,90 / 100,4 ★
EMP-1252,Employee 252,Sales,June,84%,In Stock,Sick Leave,87 / 100,4 ★
EMP-1253,Employee 253,HR,February,72%,Reserved,Vacation,78 / 100,4 ★
EMP-1254,Employee 254,Marketing,July,70%,On Leave,Sick Leave,63 / 100,2 ★
EMP-1255,Employee 255,Administration,May,76%,On Leave,Sick Leave,75 / 100,2 ★
EMP-1256,Employee 256,Administration,June,96%,In Stock,None,90 / 100,5 ★
EMP-1257,Employee 257,Marketing,October,88%,In Stock,None,70 / 100,4 ★
EMP-1258,Employee 258,R&D,September,75%,Reserved,Sick Leave,76 / 100,4 ★
EMP-1259,Employee 259,Marketing,February,70%,Reserved,Sick Leave,76 / 100,3 ★
EMP-1260,Employee 260,R&D,May,85%,In Stock,Sick Leave,78 / 100,4 ★
EMP-1261,Employee 261,Administration,October,98%,In Stock,None,95 / 100,5 ★
EMP-1262,Employee 262,Sales,October,76%,On Leave,Vacation,60 / 100,4 ★
EMP-1263,Employee 263,Engineering,July,82%,In Stock,None,81 / 100,3 ★
EMP-1264,Employee 264,Sales,December,89%,In Stock,Sick Leave,71 / 100,5 ★
EMP-1265,Employee 265,Operations,September,74%,Reserved,Special Leave,66 / 100,2 ★
EMP-1266,Employee 266,Legal,August,96%,In Stock,None,99 / 100,5 ★
EMP-1267,Employee 267,R&D,June,74%,Reserved,Special Leave,63 / 100,3 ★
EMP-1268,Employee 268,HR,June,85%,In Stock,Sick Leave,90 / 100,5 ★
EMP-1269,Employee 269,Finance,November,85%,Reserved,Sick Leave,83 / 100,5 ★
EMP-1270,Employee 270,Procurement,January,99%,In Stock,None,94 / 100,5 ★
EMP-1271,Employee 271,Operations,September,82%,Reserved,Casual Leave,72 / 100,3 ★
EMP-1272,Employee 272,Administration,August,71%,Reserved,Sick Leave,80 / 100,4 ★
EMP-1273,Employee 273,Customer Support,May,97%,In Stock,None,93 / 100,5 ★
EMP-1274,Employee 274,HR,May,73%,On Leave,Sick Leave,71 / 100,4 ★
EMP-1275,Employee 275,Legal,April,76%,On Leave,Vacation,65 / 100,2 ★
EMP-1276,Employee 276,Administration,August,78%,On Leave,Sick Leave,73 / 100,4 ★
EMP-1277,Employee 277,Marketing,February,75%,On Leave,Vacation,63 / 100,2 ★
EMP-1278,Employee 278,Engineering,December,92%,In Stock,None,92 / 100,4 ★
EMP-1279,Employee 279,Customer Support,February,83%,In Stock,Sick Leave,87 / 100,4 ★
EMP-1280,Employee 280,Finance,April,87%,In Stock,Casual Leave,86 / 100,5 ★
EMP-1281,Employee 281,Customer Support,August,81%,Reserved,Sick Leave,85 / 100,5 ★
EMP-1282,Employee 282,Operations,July,82%,Reserved,None,70 / 100,3 ★
EMP-1283,Employee 283,HR,February,78%,On Leave,Sick Leave,77 / 100,4 ★
EMP-1284,Employee 284,Administration,July,82%,In Stock,Sick Leave,73 / 100,5 ★
EMP-1285,Employee 285,Engineering,June,81%,In Stock,Sick Leave,78 / 100,5 ★
EMP-1286,Employee 286,Operations,November,97%,In Stock,None,98 / 100,5 ★
EMP-1287,Employee 287,Marketing,April,74%,Reserved,Vacation,74 / 100,3 ★
EMP-1288,Employee 288,Finance,May,78%,On Leave,Vacation,63 / 100,2 ★
EMP-1289,Employee 289,Marketing,January,91%,In Stock,Casual Leave,80 / 100,5 ★
EMP-1290,Employee 290,HR,August,88%,In Stock,Casual Leave,90 / 100,4 ★
EMP-1291,Employee 291,Engineering,June,84%,In Stock,None,84 / 100,3 ★
EMP-1292,Employee 292,Customer Support,July,75%,On Leave,Sick Leave,76 / 100,2 ★
EMP-1293,Employee 293,Procurement,May,75%,On Leave,Sick Leave,75 / 100,4 ★
EMP-1294,Employee 294,Administration,March,72%,Reserved,Vacation,77 / 100,3 ★
EMP-1295,Employee 295,Engineering,June,76%,Reserved,Special Leave,67 / 100,3 ★
EMP-1296,Employee 296,Engineering,April,81%,In Stock,Sick Leave,85 / 100,3 ★
EMP-1297,Employee 297,Procurement,April,71%,On Leave,Sick Leave,67 / 100,2 ★
EMP-1298,Employee 298,Customer Support,November,74%,Reserved,Vacation,68 / 100,2 ★
EMP-1299,Employee 299,IT,April,87%,Reserved,None,72 / 100,4 ★
EMP-1300,Employee 300,HR,December,85%,Reserved,None,79 / 100,5 ★
EMP-1301,Employee 301,Engineering,October,94%,In Stock,Casual Leave,84 / 100,4 ★
EMP-1302,Employee 302,Operations,June,91%,Reserved,None,80 / 100,4 ★
EMP-1303,Employee 303,IT,March,75%,On Leave,Sick Leave,76 / 100,3 ★
EMP-1304,Employee 304,R&D,January,71%,Reserved,Sick Leave,68 / 100,2 ★
EMP-1305,Employee 305,Sales,January,86%,Reserved,Casual Leave,71 / 100,5 ★
EMP-1306,Employee 306,Procurement,December,97%,In Stock,None,98 / 100,5 ★
EMP-1307,Employee 307,Administration,September,82%,In Stock,Casual Leave,78 / 100,3 ★
EMP-1308,Employee 308,Operations,April,93%,In Stock,None,92 / 100,4 ★
EMP-1309,Employee 309,Administration,January,94%,Reserved,None,95 / 100,5 ★
EMP-1310,Employee 310,Engineering,December,81%,In Stock,None,72 / 100,3 ★
EMP-1311,Employee 311,Sales,February,96%,In Stock,None,97 / 100,5 ★
EMP-1312,Employee 312,IT,July,73%,On Leave,Vacation,74 / 100,2 ★
EMP-1313,Employee 313,Finance,February,73%,Reserved,Vacation,80 / 100,4 ★
EMP-1314,Employee 314,Legal,September,75%,Reserved,Special Leave,72 / 100,2 ★
EMP-1315,Employee 315,Legal,July,82%,Reserved,Sick Leave,75 / 100,3 ★
EMP-1316,Employee 316,Operations,November,95%,Reserved,None,88 / 100,4 ★
EMP-1317,Employee 317,Sales,September,90%,Reserved,Casual Leave,94 / 100,5 ★
EMP-1318,Employee 318,Customer Support,May,92%,Reserved,None,83 / 100,5 ★
EMP-1319,Employee 319,Administration,December,85%,Reserved,Casual Leave,81 / 100,4 ★
EMP-1320,Employee 320,Legal,January,99%,In Stock,None,100 / 100,5 ★
